id, date, target_id, base_url
2, 2010-01-22, 2, http://184.73.233.127/analysis/2010-01-22-kepler-exo4
3, 2010-03-19, 3, http://184.73.240.113/analysis/2010-03-19-exo060
4, 2010-03-19, 2, http://184.73.240.113/analysis/2010-03-19-exo4
5, 2010-03-19, 4, http://184.73.240.113/analysis/2010-03-19-exo144
6, 2010-03-19, 5, http://184.73.240.113/analysis/2010-03-19-exo202
7, 2010-03-26, 6, http://184.73.240.15/analysis/2010-03-26-crab
8, 2010-03-26, 7, http://184.73.240.15/analysis/2010-03-26-exo134
9, 2010-03-26, 8, http://184.73.240.15/analysis/2010-03-26-w3oh
10, 2010-04-02, 9, http://184.73.233.127/analysis/2010-04-02-amc7
11, 2010-05-07, 10, http://184.73.186.167/analysis/2010-05-07-galanticenter-2
12, 2010-05-14, 2, http://184.73.186.167/analysis/2010-05-14-kepler04-3
13, 2010-05-14, 11, http://184.73.186.167/analysis/2010-05-14-psrb0809+74-1
14, 2010-06-04, 12, http://184.73.186.167/analysis/2010-06-04-rosetta
15, 2010-10-01, 13, http://184.73.173.203/analysis/2010-10-01-exo211_1
16, 2010-10-01, 14, http://184.73.173.203/analysis/2010-10-01-exo225_1
17, 2010-10-01, 15, http://184.73.173.203/analysis/2010-10-01-exo-gl581_1
18, 2010-10-08, 16, http://184.73.186.167/analysis/2010-10-08-off_galanticenter_3991_1
21, 2010-10-08, 10, http://184.73.186.167/analysis/2010-10-08-galanticenter_3991_1
22, 2010-10-08, 10, http://184.73.186.167/analysis/2010-10-08-galanticenter_3991_2
23, 2010-10-15, 6, http://184.73.233.127/analysis/2010-10-15-crab_1420_1
24, 2010-11-05, 2, http://184.73.240.15/analysis/2010-11-05-kepler04-1420_1
25, 2010-11-05, 15, http://184.73.240.15/analysis/2010-11-05-dorothy_exo-gl581-1420_1
26, 2010-11-05, 17, http://184.73.240.15/analysis/2010-11-05-dorothy-55cnc
27, 2010-11-06, 18, http://184.73.240.15/analysis/2010-11-06-dorothy_tauceti_1420_1
28, 2010-11-06, 19, http://184.73.240.15/analysis/2010-11-06-dorothy_HD69830_1420_1
29, 2010-11-06, 20, http://184.73.240.15/analysis/2010-11-06-dorothy_etaareitus_1420_1
30, 2010-11-06, 21, http://184.73.240.15/analysis/2010-11-06-dorothy_epsiloneridani_1420_1
31, 2011-02-18, 22, http://184.73.186.167/analysis/2011-02-18-WoW1_1430
19, 2010-10-08, 23, http://184.73.186.167/analysis/2010-10-08-Lagrange-4_3991_3
20, 2010-10-08, 24, http://184.73.186.167/analysis/2010-10-08-GPS-27_1575_1
32, 2010-12-17, 25, http://184.73.233.127/analysis/2010-12-17-1733-130-4462_1
33, 2010-12-17, 26, http://184.73.233.127/analysis/2010-12-17-0834+555_6670_1
34, 2010-12-17, 27, http://184.73.233.127/analysis/2010-12-17-0136+478_4462_1
35, 2010-12-24, 28, http://184.73.233.127/analysis/2010-12-24-1347+122_2008_1
36, 2010-12-24, 26, http://184.73.233.127/analysis/2010-12-24-0834+555_2840_1
37, 2011-01-07, 29, http://184.73.233.127/analysis/2011-01-07-3c295-2008_1
38, 2011-01-07, 30, http://184.73.233.127/analysis/2011-01-07-0228+673-2008
